Title,Year,Rated,Released,Runtime,Genre,Language,Awards,imdbRating,imdbVotes,imdbID,Type,Production,Budget,Revenue,ROI%
Cloudy with a Chance of Meatballs,2009,PG,18 Sep 2009,90,"Animation, Adventure, Comedy, Family, Fantasy, Sci-Fi","English, French, Spanish",Nominated for 1 Golden Globe. Another 1 win & 13 nominations.,6.9,"198,568",tt0844471,movie,Sony Pictures,100000000,242988466,142.99
Consenting Adults,1992,R,16 Oct 1992,99,"Crime, Drama, Mystery, Thriller",English,1 nomination.,5.8,"6,572",tt0104006,movie,Hollywood Pictures,18000000,21591728,19.95
Jumanji,1995,PG,15 Dec 1995,104,"Adventure, Comedy, Family, Fantasy","English, French",4 wins & 11 nominations.,7.0,"295,917",tt0113497,movie,Sony Pictures Home Entertainment,65000000,262797249,304.3
The Drop,2014,R,12 Sep 2014,106,"Crime, Drama, Thriller","English, Russian",4 wins & 5 nominations.,7.1,"138,787",tt1600196,movie,Fox Searchlight,12600000,19054534,51.23
Captain America: Civil War,2016,PG-13,06 May 2016,147,"Action, Adventure, Sci-Fi","English, German, Xhosa, Russian, Romanian, Hindi",16 wins & 68 nominations.,7.8,"637,464",tt3498820,movie,Walt Disney Pictures,250000000,1153296293,361.32
The Hitman's Bodyguard,2017,R,18 Aug 2017,118,"Action, Comedy, Crime, Thriller","English, Russian, French, Japanese, Italian, Dutch, Spanish",1 win & 8 nominations.,6.9,"179,096",tt1959563,movie,Summit Entertainment,30000000,176586701,488.62
Regarding Henry,1991,PG-13,10 Jul 1991,108,"Drama, Romance",English,1 win & 2 nominations.,6.7,"28,716",tt0102768,movie,Paramount Home Video,25000000,43001500,72.01
Moonrise Kingdom,2012,PG-13,29 Jun 2012,94,"Comedy, Drama, Romance",English,Nominated for 1 Oscar. Another 38 wins & 118 nominations.,7.8,"309,299",tt1748122,movie,Focus Features,16000000,68263166,326.64
The Full Monty,1997,R,19 Sep 1997,91,"Comedy, Drama",English,Won 1 Oscar. Another 36 wins & 34 nominations.,7.2,"96,582",tt0119164,movie,Twentieth Century Fox Home Entertainment,3500000,257850122,7267.15
Astro Boy,2009,PG,23 Oct 2009,94,"Animation, Action, Comedy, Family, Sci-Fi",English,4 nominations.,6.3,"32,278",tt0375568,movie,Summit Entertainment,10000000,19551067,95.51
London Boulevard,2010,R,26 Nov 2010,103,"Crime, Drama",English,1 nomination.,6.2,"45,859",tt1213648,movie,IFC Films,25000000,4644108,-81.42
End of Watch,2012,R,21 Sep 2012,109,"Action, Crime, Drama, Thriller","English, Spanish",3 wins & 10 nominations.,7.6,"222,969",tt1855199,movie,Open Road Films,7000000,48126384,587.52
Ballistic: Ecks vs. Sever,2002,R,20 Sep 2002,91,"Action, Crime, Mystery, Sci-Fi, Thriller",English,5 nominations.,3.7,"18,889",tt0308208,movie,Warner Bros. Pictures,70000000,19924033,-71.54
Kong: Skull Island,2017,PG-13,10 Mar 2017,118,"Action, Adventure, Fantasy, Sci-Fi","English, Vietnamese",Nominated for 1 Oscar. Another 1 win & 19 nominations.,6.6,"259,534",tt3731562,movie,Warner Bros. Pictures/Legendary Pictures,185000000,566652812,206.3
Meet Monica Velour,2010,R,01 Apr 2010,98,"Comedy, Drama, Romance",English,1 nomination.,5.8,"2,171",tt1291549,movie,Anchor Bay Entertainment,5000000,31649,-99.37
Half Baked,1998,R,16 Jan 1998,82,"Comedy, Crime","English, Turkish",,6.7,"56,815",tt0120693,movie,Universal Pictures,8000000,17460020,118.25
Tammy,2014,R,02 Jul 2014,97,"Comedy, Romance",English,1 win & 7 nominations.,4.9,"46,486",tt2103254,movie,Warner Bros. Pictures,20000000,100525432,402.63
Manhattan Murder Mystery,1993,PG,18 Aug 1993,104,"Comedy, Mystery",English,Nominated for 1 Golden Globe. Another 3 nominations.,7.4,"37,485",tt0107507,movie,TriStar Pictures,13500000,11285588,-16.4
"First Love, Last Rites",1997,R,07 Aug 1998,94,"Drama, Romance",English,1 win & 1 nomination.,5.5,301,tt0128214,movie,Strand Releasing,300000,40542,-86.49
Enough,2002,PG-13,24 May 2002,115,"Crime, Drama, Thriller",English,4 nominations.,5.8,"38,277",tt0278435,movie,Sony Pictures,38000000,51801187,36.32
L.A. Confidential,1997,R,19 Sep 1997,138,"Crime, Drama, Mystery, Thriller",English,Won 2 Oscars. Another 89 wins & 84 nominations.,8.2,"517,644",tt0119488,movie,Warner Bros. Pictures,35000000,126216940,260.62
Outlander,2008,R,11 Jul 2008,115,"Action, Adventure, Fantasy, Horror, Sci-Fi, War","English, Norse,  Old, Latin",2 nominations.,6.2,"70,506",tt0462465,movie,Third Rail Releasing,50000000,7033683,-85.93
Bulletproof Monk,2003,PG-13,16 Apr 2003,104,"Action, Comedy, Fantasy, Romance","English, Tibetan, Punjabi, German",1 nomination.,5.5,"47,095",tt0245803,movie,MGM/UA,52000000,37713879,-27.47
The Corruptor,1999,R,12 Mar 1999,110,"Action, Crime, Drama, Mystery, Thriller","English, Cantonese",1 nomination.,6.1,"17,088",tt0142192,movie,New Line Home Entertainment,25000000,15156200,-39.38
Zoom,2006,PG,11 Aug 2006,83,"Action, Adventure, Comedy, Family, Fantasy, Sci-Fi",English,4 wins & 8 nominations.,4.4,"18,453",tt0383060,movie,Sony Pictures Entertainment,75600000,12506188,-83.46
Red Sparrow,2018,R,02 Mar 2018,140,"Action, Drama, Thriller","English, Russian",3 wins & 8 nominations.,6.6,"157,353",tt2873282,movie,Twentieth Century Fox,69000000,151572634,119.67
The Tree of Life,2011,PG-13,17 May 2011,139,"Drama, Fantasy",English,Nominated for 3 Oscars. Another 117 wins & 124 nominations.,6.8,"164,408",tt0478304,movie,Fox Searchlight,32000000,54674226,70.86
I Am Legend,2007,PG-13,14 Dec 2007,101,"Action, Adventure, Drama, Sci-Fi, Thriller",English,9 wins & 22 nominations.,7.2,"670,587",tt0480249,movie,Warner Bros. Pictures,150000000,585410052,290.27
Riddick,2013,R,06 Sep 2013,119,"Action, Adventure, Sci-Fi, Thriller",English,2 nominations.,6.4,"150,811",tt1411250,movie,Universal Classics,38000000,98337295,158.78
How the Grinch Stole Christmas,2000,PG,17 Nov 2000,104,"Comedy, Family, Fantasy",English,Won 1 Oscar. Another 17 wins & 37 nominations.,6.2,"197,119",tt0170016,movie,Universal Pictures,123000000,345141403,180.6
Love & Other Drugs,2010,R,24 Nov 2010,112,"Comedy, Drama, Romance",English,Nominated for 2 Golden Globes. Another 1 win & 3 nominations.,6.7,"175,012",tt0758752,movie,20th Century Fox,30000000,102820008,242.73
Serving Sara,2002,PG-13,23 Aug 2002,99,"Comedy, Romance","English, Spanish",,5.4,"16,480",tt0261289,movie,Paramount Pictures,29000000,16930185,-41.62
Never Talk to Strangers,1995,R,20 Oct 1995,86,"Crime, Drama, Romance, Thriller",English,,5.2,"6,185",tt0113965,movie,Sony Pictures Home Entertainment,6400000,6,-100.0
Hansel & Gretel: Witch Hunters,2013,R,25 Jan 2013,88,"Action, Fantasy, Horror",English,3 wins & 4 nominations.,6.1,"191,243",tt1428538,movie,Paramount Pictures/MGM,50000000,226349749,352.7
The Bodyguard,1992,R,25 Nov 1992,129,"Action, Drama, Music, Romance, Thriller",English,Nominated for 2 Oscars. Another 10 wins & 20 nominations.,6.3,"114,875",tt0103855,movie,Warner Home Video,25000000,411006740,1544.03
How to Lose a Guy in 10 Days,2003,PG-13,07 Feb 2003,116,"Comedy, Romance",English,1 win & 8 nominations.,6.4,"202,921",tt0251127,movie,Paramount Pictures,50000000,177371441,254.74
Unknown,2006,Unrated,03 Nov 2006,85,"Crime, Drama, Mystery, Thriller",English,,6.5,"28,815",tt0450340,movie,IFC,3700000,3338228,-9.78
Instant Family,2018,PG-13,16 Nov 2018,118,"Comedy, Drama","English, Spanish",2 wins & 5 nominations.,7.3,"73,733",tt7401588,movie,Paramount Pictures,48000000,14700000,-69.38
The Hunt for Red October,1990,PG,02 Mar 1990,135,"Action, Adventure, Thriller","English, Russian",Won 1 Oscar. Another 2 wins & 8 nominations.,7.6,"173,146",tt0099810,movie,Paramount Pictures,30000000,200512643,568.38
Larry Crowne,2011,PG-13,01 Jul 2011,98,"Comedy, Drama, Romance",English,3 nominations.,6.1,"61,791",tt1583420,movie,Universal Pictures,30000000,36160375,20.53
Delirious,1991,PG,09 Aug 1991,96,"Comedy, Fantasy",English,,5.9,"7,510",tt0101701,movie,MGM Home Entertainment,18000000,5546827,-69.18
Riding in Cars with Boys,2001,PG-13,19 Oct 2001,132,"Biography, Comedy, Drama",English,2 wins & 2 nominations.,6.5,"25,939",tt0200027,movie,Columbia Pictures,48000000,35743308,-25.53
Madea's Witness Protection,2012,PG-13,29 Jun 2012,114,"Comedy, Crime, Drama",English,1 win & 5 nominations.,4.9,"9,815",tt2215285,movie,Lionsgate Films,20000000,66899242,234.5
The Spy Who Dumped Me,2018,R,03 Aug 2018,117,"Action, Adventure, Comedy","English, Russian, French, Lithuanian, German",3 wins & 4 nominations.,6.0,"63,802",tt6663582,movie,Lionsgate,40000000,33562069,-16.09
Rising Sun,1993,R,30 Jul 1993,129,"Action, Crime, Drama, Mystery, Thriller","English, Japanese",1 win & 1 nomination.,6.3,"41,245",tt0107969,movie,Twentieth Century Fox Home Entertainment,40000000,107198790,168.0
Adaptation.,2002,R,14 Feb 2003,115,"Comedy, Drama","English, Latin",Won 1 Oscar. Another 64 wins & 100 nominations.,7.7,"172,098",tt0268126,movie,Columbia Pictures,19000000,32801173,72.64
The Dark Half,1993,R,23 Apr 1993,122,"Horror, Mystery, Thriller",English,4 wins & 11 nominations.,6.0,"15,272",tt0106664,movie,Orion Home Video,15000000,10611160,-29.26
Men of Honor,2000,R,10 Nov 2000,129,"Biography, Drama",English,11 nominations.,7.2,"104,625",tt0203019,movie,20th Century Fox,82343495,48814909,-40.72
Absolute Power,1997,R,14 Feb 1997,121,"Action, Crime, Drama, Thriller","English, Spanish",1 nomination.,6.7,"48,550",tt0118548,movie,Warner Home Video,50000000,50068310,0.14
Graveyard Shift,1990,R,26 Oct 1990,89,Horror,English,1 nomination.,4.9,"9,352",tt0099697,movie,Paramount Home Video,10500000,11582891,10.31
Welcome to the Dollhouse,1995,R,24 May 1996,88,"Comedy, Drama",English,4 wins & 17 nominations.,7.4,"30,874",tt0114906,movie,Sony Pictures Classics,800000,5034794,529.35
"Happy, Texas",1999,PG-13,03 Dec 1999,98,"Comedy, Crime, Romance",English,6 wins & 6 nominations.,6.3,"9,368",tt0162360,movie,Miramax Films,1700000,1943649,14.33
The Namesake,2006,PG-13,06 Apr 2007,122,Drama,"English, Hindi, Bengali, French",5 wins & 6 nominations.,7.5,"18,913",tt0433416,movie,Fox Searchlight Pictures,12000000,20354321,69.62
True Romance,1993,R,10 Sep 1993,119,"Crime, Drama, Romance, Thriller","English, Italian",1 win & 10 nominations.,7.9,"199,873",tt0108399,movie,Warner Bros.,12500000,12281551,-1.75
Friday the 13th,2009,R,13 Feb 2009,97,"Horror, Mystery, Thriller","English, Ukrainian",2 wins & 4 nominations.,5.5,"94,303",tt0758746,movie,Warner Bros. Pictures/New Line/Paramount,19000000,91379051,380.94
The Quick and the Dead,1995,R,10 Feb 1995,107,"Action, Romance, Thriller, Western","English, Spanish",1 nomination.,6.4,"82,242",tt0114214,movie,Sony Pictures Entertainment,32000000,18552460,-42.02
Demonic,2015,R,10 Oct 2017,83,"Horror, Thriller",English,1 nomination.,5.3,"12,909",tt1841642,movie,Gatlin Pictures,3000000,3387000,12.9
Wish Upon,2017,PG-13,14 Jul 2017,90,"Drama, Fantasy, Horror, Mystery, Thriller",English,2 nominations.,5.0,"17,247",tt5322012,movie,Broad Green Pictures,12000000,14301505,19.18
Doubt,2008,PG-13,25 Dec 2008,104,"Drama, Mystery",English,Nominated for 5 Oscars. Another 26 wins & 90 nominations.,7.5,"119,099",tt0918927,movie,Miramax,20000000,50907234,154.54
The Work and the Glory,2004,PG,21 Jan 2005,118,"Romance, Drama",English,,6.9,942,tt0410454,movie,Excel Entertainment,7500000,3347647,-55.36
Dredd,2012,R,21 Sep 2012,95,"Action, Crime, Sci-Fi",English,2 wins & 14 nominations.,7.1,"244,933",tt1343727,movie,Lionsgate Films,50000000,41037742,-17.92
The Wedding Singer,1998,PG-13,13 Feb 1998,97,"Comedy, Music, Romance",English,5 wins & 7 nominations.,6.8,"130,968",tt0120888,movie,New Line Cinema,18000000,123306987,585.04
Now and Then,1995,PG-13,20 Oct 1995,100,"Comedy, Drama, Romance",English,1 nomination.,6.8,"26,292",tt0114011,movie,New Line Home Entertainment,12000000,27400000,128.33
The Sisterhood of the Traveling Pants,2005,PG,01 Jun 2005,119,"Comedy, Drama, Romance","English, Greek, Spanish",1 win & 14 nominations.,6.5,"52,756",tt0403508,movie,Warner Bros. Pictures,25000000,39053061,56.21
The End of the Affair,1999,R,21 Jan 2000,102,"Drama, Romance",English,Nominated for 2 Oscars. Another 2 wins & 25 nominations.,7.1,"20,610",tt0172396,movie,Columbia Pictures,23000000,10827816,-52.92
Night of the Living Dead,1990,R,19 Oct 1990,92,Horror,English,2 nominations.,6.9,"37,662",tt0100258,movie,Columbia Pictures,4200000,5835247,38.93
Jonah Hex,2010,PG-13,18 Jun 2010,81,"Action, Drama, Fantasy, Thriller, Western",English,1 win & 4 nominations.,4.7,"54,225",tt1075747,movie,Warner Bros. Pictures,47000000,10539000,-77.58
Unlawful Entry,1992,R,26 Jun 1992,111,"Crime, Drama, Thriller","English, Spanish",1 nomination.,6.3,"14,211",tt0105699,movie,Twentieth Century Fox Home Entertainment,23000000,57138719,148.43
What About Bob?,1991,PG,17 May 1991,99,Comedy,English,2 wins & 2 nominations.,7.0,"60,767",tt0103241,movie,Touchstone Home Entertainment,35000000,63710000,82.03
Fear and Loathing in Las Vegas,1998,R,22 May 1998,118,"Adventure, Comedy, Drama",English,1 win & 3 nominations.,7.6,"252,866",tt0120669,movie,Universal Pictures,18500000,10680275,-42.27
Anna Karenina,1997,PG-13,04 Apr 1997,108,"Drama, Romance","English, Russian",,6.4,"5,338",tt0118623,movie,Warner Bros. Pictures,35000000,791830,-97.74
Operation Finale,2018,PG-13,29 Aug 2018,122,"Biography, Drama, History, Thriller, War","English, Spanish, French, German",1 nomination.,6.6,"28,580",tt5208252,movie,MGM,24000000,17506878,-27.05
Shorts,2009,PG,21 Aug 2009,89,"Comedy, Family, Fantasy",English,1 win & 1 nomination.,4.7,"6,666",tt1100119,movie,Warner Bros. Pictures,40000000,28972508,-27.57
Surveillance,2008,R,31 Jul 2008,97,"Crime, Drama, Mystery, Thriller",English,3 wins & 5 nominations.,6.3,"16,542",tt0409345,movie,Magnet Releasing,3500000,1115493,-68.13
St. Vincent,2014,PG-13,24 Oct 2014,102,"Comedy, Drama","English, Spanish",Nominated for 2 Golden Globes. Another 6 wins & 21 nominations.,7.2,"93,687",tt2170593,movie,The Weinstein Company,13000000,54837234,321.82
Radio,2003,PG,24 Oct 2003,109,"Biography, Drama, Sport",English,3 wins & 5 nominations.,6.9,"37,510",tt0316465,movie,Sony Pictures Entertainment,35000000,53293628,52.27
Ghosts of the Abyss,2003,G,10 Sep 2003,61,"Documentary, Family",English,1 nomination.,6.8,"4,881",tt0297144,movie,Buena Vista Distribution,13000000,17040871,31.08
Wrong Turn,2003,R,30 May 2003,84,Horror,English,3 nominations.,6.1,"105,915",tt0295700,movie,20th Century Fox Distribution,12600000,28650575,127.39
Sphere,1998,PG-13,13 Feb 1998,134,"Action, Mystery, Sci-Fi, Thriller",English,3 nominations.,6.1,"97,311",tt0120184,movie,Warner Home Video,80000000,37020277,-53.72
Uncut Gems,2019,R,25 Dec 2019,135,"Crime, Drama, Thriller","English, Hebrew",24 wins & 76 nominations.,7.5,"178,889",tt5727208,movie,A24,19000000,50020902,163.27
Murder on the Orient Express,2017,PG-13,10 Nov 2017,114,"Crime, Drama, Mystery","English, French, German, Arabic",1 win & 23 nominations.,6.5,"200,352",tt3402236,movie,20th Century Fox,55000000,351839303,539.71
Out Cold,2001,PG-13,21 Nov 2001,89,"Comedy, Sport",English,,6.3,"16,486",tt0253798,movie,Buena Vista Distribution Compa,24000000,14782676,-38.41
Calendar Girls,2003,PG-13,01 Jan 2004,108,"Comedy, Drama",English,Nominated for 1 Golden Globe. Another 2 wins & 15 nominations.,6.9,"22,478",tt0337909,movie,Buena Vista Pictures,10000000,96542059,865.42
Hit and Run,2012,R,22 Aug 2012,100,"Action, Comedy",English,1 win.,6.1,"33,942",tt2097307,movie,Open Road Films,2000000,14400000,620.0
Deuce Bigalow: European Gigolo,2005,R,12 Aug 2005,83,Comedy,"English, Dutch",3 wins & 10 nominations.,4.7,"47,437",tt0367652,movie,Sony,22000000,22400154,1.82
"I, Tonya",2017,R,19 Jan 2018,119,"Biography, Comedy, Drama, Sport",English,Won 1 Oscar. Another 45 wins & 122 nominations.,7.5,"169,998",tt5580036,movie,NEON,11000000,53939297,390.36
Furious 7,2015,PG-13,03 Apr 2015,137,"Action, Adventure, Thriller","English, Thai, Arabic, Spanish",Nominated for 1 Golden Globe. Another 33 wins & 34 nominations.,7.1,"351,187",tt2820852,movie,Universal Pictures,190000000,1515047671,697.39
Lady Bird,2017,R,01 Dec 2017,94,"Comedy, Drama","English, Spanish",Nominated for 5 Oscars. Another 120 wins & 220 nominations.,7.4,"222,549",tt4925292,movie,A24,10000000,76858273,668.58
Bad Boys,1995,R,07 Apr 1995,119,"Action, Comedy, Crime, Thriller",English,1 win & 3 nominations.,6.9,"233,204",tt0112442,movie,Sony Pictures Home Entertainment,19000000,141407024,644.25
Margaret,2011,R,01 Jun 2012,150,Drama,English,9 wins & 18 nominations.,6.4,"15,594",tt0466893,movie,Fox Searchlight,14000000,46495,-99.67
Tomorrowland,2015,PG,22 May 2015,130,"Action, Adventure, Family, Fantasy, Mystery, Sci-Fi","English, French, Japanese",2 wins & 19 nominations.,6.4,"168,649",tt1964418,movie,Walt Disney Pictures,190000000,209154322,10.08
Stake Land,2010,R,17 Jun 2011,98,"Drama, Horror, Sci-Fi",English,3 wins & 11 nominations.,6.5,"39,995",tt1464580,movie,IFC,650000,33245,-94.89
The Lion King,2019,PG,19 Jul 2019,118,"Animation, Adventure, Drama, Family, Musical","English, Xhosa, Zulu, French, Spanish",Nominated for 1 Oscar. Another 16 wins & 34 nominations.,6.9,"194,149",tt6105098,movie,Walt Disney Pictures,260000000,1656943394,537.29
Disturbia,2007,PG-13,13 Apr 2007,105,"Crime, Drama, Mystery, Thriller","English, Spanish",4 wins & 6 nominations.,6.8,"215,909",tt0486822,movie,Dreamworks,20000000,117760134,488.8
Waking Ned Devine,1998,PG,08 Jan 1999,91,Comedy,"English, Latin, Irish",9 wins & 8 nominations.,7.3,"24,545",tt0166396,movie,Twentieth Century Fox,3000000,43515982,1350.53
Idle Hands,1999,R,30 Apr 1999,92,"Comedy, Fantasy, Horror, Thriller",English,4 nominations.,6.2,"38,510",tt0138510,movie,Columbia Pictures,25000000,4152230,-83.39
Sky High,2005,PG,29 Jul 2005,100,"Adventure, Comedy, Family, Sci-Fi","English, Cantonese",1 nomination.,6.2,"76,446",tt0405325,movie,Buena Vista,35000000,86369815,146.77
The Doors,1991,R,01 Mar 1991,140,"Biography, Drama, Music",English,3 nominations.,7.2,"81,677",tt0101761,movie,Sony Pictures Home Entertainment,38000000,34416893,-9.43
The Skeleton Key,2005,PG-13,12 Aug 2005,104,"Drama, Horror, Mystery, Thriller","English, French",5 nominations.,6.5,"103,653",tt0397101,movie,Universal Pictures,43000000,93983911,118.57
Johnny English Reborn,2011,PG,21 Oct 2011,101,"Action, Adventure, Comedy, Crime","English, Mandarin, Swiss German, Cantonese, Russian",4 nominations.,6.3,"116,910",tt1634122,movie,Universal Pictures,45000000,160078586,255.73
Only God Forgives,2013,R,22 May 2013,90,"Action, Crime, Drama","English, Thai",14 wins & 20 nominations.,5.7,"105,083",tt1602613,movie,Radius-TWC,4800000,10337387,115.36
The Core,2003,PG-13,28 Mar 2003,135,"Action, Adventure, Sci-Fi, Thriller",English,,5.5,"91,042",tt0298814,movie,Paramount Pictures,60000000,74208267,23.68
Jakob the Liar,1999,PG-13,24 Sep 1999,120,"Drama, War",English,2 wins & 3 nominations.,6.6,"14,763",tt0120716,movie,TriStar Pictures,45000000,4956701,-88.99
American Assassin,2017,R,15 Sep 2017,112,"Action, Thriller","English, Spanish, Arabic, Polish, Turkish, Russian, Italian, Persian",2 nominations.,6.2,"66,381",tt1961175,movie,Lionsgate and CBS Films,33000000,66167951,100.51
The Witch,2015,R,19 Feb 2016,92,"Drama, Horror, Mystery",English,43 wins & 67 nominations.,6.9,"185,878",tt4263482,movie,A24 Films,3500000,40423945,1054.97
Interview with the Vampire: The Vampire Chronicles,1994,R,11 Nov 1994,123,"Drama, Horror","English, French",Nominated for 2 Oscars. Another 24 wins & 34 nominations.,7.6,"287,024",tt0110148,movie,Warner Home Video,60000000,223664608,272.77
Almost Christmas,2016,PG-13,11 Nov 2016,111,"Comedy, Drama",English,3 nominations.,6.1,"5,693",tt4649416,movie,Will Packer Productions,17000000,42487325,149.93
The Tale of Despereaux,2008,G,19 Dec 2008,93,"Animation, Adventure, Comedy, Family, Fantasy",English,1 win & 8 nominations.,6.1,"35,124",tt0420238,movie,Universal Pictures,60000000,86947965,44.91
Lost in Translation,2003,R,03 Oct 2003,102,"Comedy, Drama","English, Japanese, German, French",Won 1 Oscar. Another 97 wins & 130 nominations.,7.7,"398,514",tt0335266,movie,Focus Features,4000000,119723856,2893.1
Beverly Hills Cop III,1994,R,25 May 1994,104,"Action, Comedy, Crime, Thriller",English,3 nominations.,5.6,"74,187",tt0109254,movie,Paramount Home Video,50000000,119208989,138.42
The Lion King,1994,G,24 Jun 1994,88,"Animation, Adventure, Drama, Family, Musical","English, Swahili, Xhosa, Zulu",Won 2 Oscars. Another 35 wins & 34 nominations.,8.5,"907,281",tt0110357,movie,Buena Vista,45000000,763455561,1596.57
The Cable Guy,1996,PG-13,14 Jun 1996,96,"Comedy, Drama, Thriller","English, French",3 wins & 2 nominations.,6.1,"148,526",tt0115798,movie,Sony Pictures Home Entertainment,47000000,102825796,118.78
Skyscraper,2018,PG-13,13 Jul 2018,102,"Action, Adventure, Thriller","English, Cantonese, Mandarin",3 nominations.,5.8,"100,200",tt5758778,movie,Universal Pictures,125000000,292351275,133.88
City Slickers,1991,PG-13,07 Jun 1991,113,"Comedy, Western",English,Won 1 Oscar. Another 7 wins & 7 nominations.,6.7,"46,427",tt0101587,movie,Columbia Pictures,27000000,179033791,563.09
Poor White Trash,2000,R,02 May 2000,85,"Comedy, Crime",English,1 nomination.,5.1,"1,219",tt0204350,movie,Hollywood Independents,1200000,1404,-99.88
Doomsday,2008,R,14 Mar 2008,105,"Action, Sci-Fi, Thriller",English,1 nomination.,6.0,"71,046",tt0483607,movie,Universal Pictures,30000000,22211426,-25.96
Chips,2017,R,24 Mar 2017,100,"Action, Comedy, Crime","English, Spanish",2 wins & 1 nomination.,6.0,"41,228",tt0493405,movie,Warner Bros. Pictures,25000000,26800152,7.2
30 Days,2006,,03 Oct 2006,93,"Drama, Sport",English,,4.1,122,tt0321858,movie,Unknown,500000,5000000,900.0
Epic,2013,PG,24 May 2013,102,"Animation, Adventure, Family, Fantasy, Mystery, Thriller",English,2 wins & 21 nominations.,6.7,"98,261",tt0848537,movie,Twentieth Century Fox,100000000,268426634,168.43
Wet Hot American Summer,2001,R,11 Apr 2002,97,"Comedy, Romance",English,1 nomination.,6.6,"53,011",tt0243655,movie,USA Films,5000000,295206,-94.1
Horsemen,2009,R,06 Feb 2009,90,"Crime, Drama, Mystery, Thriller",English,,5.6,"21,206",tt0892767,movie,Lionsgate,20000000,1017401,-94.91
Road to Perdition,2002,R,12 Jul 2002,117,"Crime, Drama, Thriller",English,Won 1 Oscar. Another 22 wins & 82 nominations.,7.7,"240,970",tt0257044,movie,DreamWorks SKG,80000000,181001478,126.25
Find Me Guilty,2006,R,17 Mar 2006,125,"Biography, Comedy, Crime, Drama",English,1 win & 2 nominations.,7.0,"32,080",tt0419749,movie,Yari Film Group,13000000,2636637,-79.72
Primal Fear,1996,R,03 Apr 1996,129,"Crime, Drama, Mystery, Thriller","English, Spanish",Nominated for 1 Oscar. Another 10 wins & 11 nominations.,7.7,"178,256",tt0117381,movie,Paramount Pictures,30000000,102616183,242.05
Stuber,2019,R,12 Jul 2019,93,"Action, Comedy, Crime, Thriller","English, Spanish",4 nominations.,6.2,"36,016",tt7734218,movie,20th Century Fox,16000000,22799033,42.49
Repentance,2013,R,25 Sep 2014,90,"Drama, Horror, Thriller",English,,4.9,"2,261",tt2012665,movie,Lionsgate,5000000,1189612,-76.21
The International,2009,R,13 Feb 2009,118,"Action, Crime, Drama, Mystery, Thriller","English, Italian, French, Danish",1 win & 1 nomination.,6.5,"89,595",tt0963178,movie,Sony Pictures/Columbia,50000000,60161391,20.32
Saw III,2006,R,27 Oct 2006,108,"Horror, Mystery, Thriller",English,1 win & 5 nominations.,6.2,"174,017",tt0489270,movie,Lionsgate Films,10000000,163876815,1538.77
Girls Trip,2017,R,21 Jul 2017,122,"Adventure, Comedy, Drama",English,14 wins & 38 nominations.,6.2,"32,804",tt3564472,movie,Universal Pictures,19000000,140376621,638.82
Just My Luck,2006,PG-13,12 May 2006,103,"Comedy, Fantasy, Romance",English,7 nominations.,5.4,"52,574",tt0397078,movie,20th Century Fox,28000000,38159905,36.29
Freddy's Dead: The Final Nightmare,1991,R,13 Sep 1991,89,"Fantasy, Horror",English,1 win & 4 nominations.,4.9,"40,022",tt0101917,movie,Sony Pictures Home Entertainment,11000000,34872033,217.02
Moneyball,2011,PG-13,23 Sep 2011,133,"Biography, Drama, Sport",English,Nominated for 6 Oscars. Another 30 wins & 75 nominations.,7.6,"349,587",tt1210166,movie,Sony Pictures,50000000,110206216,120.41
A Hidden Life,2019,PG-13,17 Jan 2020,174,"Biography, Drama, Romance, War","English, German, Italian",7 wins & 24 nominations.,7.4,"13,527",tt5827916,movie,Fox Searchlight Pictures,9000000,4612788,-48.75
Paranoia,2013,PG-13,16 Aug 2013,106,"Drama, Thriller",English,1 nomination.,5.7,"34,328",tt1413495,movie,Relativity Media,35000000,13785015,-60.61
Flipper,1996,PG,17 May 1996,95,"Adventure, Family",English,5 nominations.,5.3,"9,935",tt0116322,movie,MCA Universal Home Video,25530000,20080020,-21.35
Mad Max: Fury Road,2015,R,15 May 2015,120,"Action, Adventure, Sci-Fi, Thriller","English, Russian",Won 6 Oscars. Another 236 wins & 228 nominations.,8.1,"845,992",tt1392190,movie,Warner Bros.,150000000,378858340,152.57
Return to Me,2000,PG,07 Apr 2000,115,"Comedy, Drama, Romance","English, Italian",2 wins & 2 nominations.,6.9,"19,249",tt0122459,movie,MGM Distribution,24000000,36609995,52.54
In the Heart of the Sea,2015,PG-13,11 Dec 2015,122,"Action, Adventure, Biography, Drama, History",English,1 win & 5 nominations.,6.9,"116,900",tt1390411,movie,Warner Bros. Pictures,100000000,93820758,-6.18
Reality Bites,1994,PG-13,18 Feb 1994,99,"Comedy, Drama, Romance",English,1 win & 1 nomination.,6.6,"44,648",tt0110950,movie,MCA Universal Home Video,11500000,20079850,74.61
Captain America: The Winter Soldier,2014,PG-13,04 Apr 2014,136,"Action, Adventure, Sci-Fi, Thriller","English, French",Nominated for 1 Oscar. Another 5 wins & 50 nominations.,7.7,"714,280",tt1843866,movie,Walt Disney Pictures,170000000,714766572,320.45
The Rum Diary,2011,R,28 Oct 2011,119,"Comedy, Drama","English, Spanish, German",2 wins & 4 nominations.,6.2,"97,376",tt0376136,movie,The Film District,45000000,24000000,-46.67
Deadlands: The Rising,2006,Unrated,23 Oct 2006,72,"Action, Horror, Thriller",English,2 wins.,2.2,580,tt0861701,movie,Wetnwildradio Films,10847,2025,-81.33
