Title,Year,Rated,Released,Runtime,Genre,Language,Awards,imdbRating,imdbVotes,imdbID,Type,Production,Budget,Revenue,ROI%
The 5th Quarter,2010,PG-13,25 Mar 2011,101,"Biography, Drama, Sport",English,1 win & 1 nomination.,5.6,"1,422",tt1130964,movie,Rocky Mountain Pictures,6000000,399611,-93.34
In the Valley of Elah,2007,R,28 Sep 2007,121,"Crime, Drama, Mystery",English,Nominated for 1 Oscar. Another 3 wins & 22 nominations.,7.1,"67,681",tt0478134,movie,Warner Independent Pictures,23000000,29541790,28.44
Top Dog,1995,PG-13,28 Apr 1995,86,"Action, Comedy, Crime, Thriller",English,,4.2,"3,062",tt0114697,movie,Live Entertainment,6000000,5093707,-15.1
Buffalo '66,1998,R,26 Jun 1998,110,"Comedy, Drama, Romance",English,6 wins & 11 nominations.,7.5,"45,563",tt0118789,movie,Lions Gate,1500000,2375097,58.34
The Fountain,2006,PG-13,22 Nov 2006,97,"Drama, Mystery, Romance, Sci-Fi","English, Maya",Nominated for 1 Golden Globe. Another 9 wins & 34 nominations.,7.2,"224,081",tt0414993,movie,Warner Bros. Pictures,35000000,15304890,-56.27
The Hobbit: The Desolation of Smaug,2013,PG-13,13 Dec 2013,161,"Adventure, Fantasy",English,Nominated for 3 Oscars. Another 18 wins & 87 nominations.,7.8,"588,164",tt1170358,movie,Warner Bros.,250000000,958400000,283.36
The Scorpion King,2002,PG-13,19 Apr 2002,92,"Action, Adventure, Fantasy",English,2 wins & 3 nominations.,5.5,"127,910",tt0277296,movie,Universal Pictures,60000000,165333180,175.56
Valentine's Day,2010,PG-13,12 Feb 2010,125,"Comedy, Romance","English, Spanish, Russian, Italian",7 wins & 12 nominations.,5.7,"111,427",tt0817230,movie,New Line Cinema/Warner Bros. Pictures,52000000,216485654,316.32
City Island,2009,PG-13,30 Apr 2010,104,"Comedy, Drama",English,3 wins & 4 nominations.,7.4,"30,223",tt1174730,movie,Anchor Bay Entertainment,6000000,7875862,31.26
Tomorrow Never Dies,1997,PG-13,19 Dec 1997,119,"Action, Adventure, Thriller","English, German, Danish, Mandarin, Cantonese",Nominated for 1 Golden Globe. Another 6 wins & 9 nominations.,6.5,"176,993",tt0120347,movie,MGM Home Entertainment,110000000,333011068,202.74
Bellflower,2011,R,21 Mar 2012,106,"Action, Drama, Romance",English,5 wins & 8 nominations.,6.4,"7,488",tt1242599,movie,Oscilloscope Laboratories,17000,101236,495.51
Luther,2003,PG-13,26 Sep 2003,123,"Biography, Drama, History","English, Latin",4 wins & 1 nomination.,6.5,"14,446",tt0309820,movie,R.S. Entertainment Inc.,30000000,29413900,-1.95
Tag,2018,R,15 Jun 2018,100,Comedy,"English, Spanish",2 nominations.,6.5,"106,111",tt2854926,movie,Warner Bros. Pictures,28000000,75100000,168.21
The Water Diviner,2014,R,26 Dec 2014,111,"Drama, History, War","English, Turkish, Greek, Russian",14 wins & 13 nominations.,7.0,"69,915",tt3007512,movie,Warner Bros. Pictures,22500000,15520023,-31.02
House of Wax,2005,R,06 May 2005,113,"Horror, Thriller",English,5 wins & 11 nominations.,5.3,"112,827",tt0397065,movie,Warner Bros. Pictures,40000000,68766121,71.92
The Ref,1994,R,11 Mar 1994,96,"Comedy, Crime, Drama",English,1 win & 1 nomination.,6.9,"22,659",tt0110955,movie,Buena Vista Internationa,11000000,11439193,3.99
Undisputed,2002,R,23 Aug 2002,94,"Action, Crime, Drama, Sport","English, German",2 nominations.,6.2,"28,272",tt0281322,movie,Miramax Films,20000000,14946150,-25.27
The Frozen Ground,2013,R,11 Jul 2013,105,"Crime, Drama, Thriller","English, French",1 nomination.,6.4,"55,014",tt2005374,movie,The Film Arcade,27220000,5496951,-79.81
About Schmidt,2002,R,03 Jan 2003,125,"Comedy, Drama",English,Nominated for 2 Oscars. Another 25 wins & 69 nominations.,7.1,"120,673",tt0257360,movie,New Line Cinema,30000000,105834556,252.78
W.,2008,PG-13,17 Oct 2008,129,"Biography, Comedy, Drama, History","English, Spanish",1 win & 8 nominations.,6.3,"45,386",tt1175491,movie,Lionsgate,25100000,29506464,17.56
Red Dawn,2012,PG-13,21 Nov 2012,93,"Action, Drama","English, Korean",1 win & 4 nominations.,5.4,"72,066",tt1234719,movie,Film District,65000000,44806783,-31.07
Inside Job,2010,PG-13,12 Nov 2010,109,"Documentary, Crime",English,Won 1 Oscar. Another 7 wins & 27 nominations.,8.2,"67,966",tt1645089,movie,Sony Pictures Classics,2000000,7871522,293.58
American Pie,1999,R,09 Jul 1999,95,Comedy,English,9 wins & 14 nominations.,7.0,"367,618",tt0163651,movie,Universal Pictures,11000000,235483004,2040.75
Forrest Gump,1994,PG-13,06 Jul 1994,142,"Drama, Romance",English,Won 6 Oscars. Another 44 wins & 74 nominations.,8.8,"1,737,186",tt0109830,movie,Paramount Pictures,55000000,677387716,1131.61
Bram Stoker's Dracula,1992,R,13 Nov 1992,128,Horror,"English, Romanian, Greek, Bulgarian, Latin",Won 3 Oscars. Another 21 wins & 25 nominations.,7.4,"185,068",tt0103874,movie,Columbia Pictures,40000000,215862692,439.66
Every Day,2018,PG-13,23 Feb 2018,97,"Drama, Fantasy, Romance",English,1 nomination.,6.4,"17,103",tt7026672,movie,Orion Pictures,4900000,6102076,24.53
Solo: A Star Wars Story,2018,PG-13,25 May 2018,135,"Action, Adventure, Sci-Fi",English,Nominated for 1 Oscar. Another 4 wins & 22 nominations.,6.9,"272,775",tt3778644,movie,Walt Disney Pictures,250000000,392952373,57.18
12 Strong,2018,R,19 Jan 2018,130,"Action, Drama, History, War","English, Dari, Russian, Spanish, Uzbek",3 nominations.,6.6,"63,399",tt1413492,movie,Warner Bros. Pictures,35000000,67131266,91.8
The Imitation Game,2014,PG-13,25 Dec 2014,114,"Biography, Drama, Thriller, War","English, German",Won 1 Oscar. Another 48 wins & 159 nominations.,8.0,"661,956",tt2084970,movie,The Weinstein Company,14000000,233555708,1568.26
Down in the Valley,2005,R,09 Dec 2005,114,"Drama, Romance, Thriller",English,1 win.,6.4,"17,662",tt0398027,movie,ThinkFilm,8000000,852872,-89.34
Ready or Not,2019,R,21 Aug 2019,95,"Comedy, Horror, Mystery, Thriller","English, Latin",3 wins & 19 nominations.,6.8,"88,375",tt7798634,movie,Fox Searchlight Pictures,6000000,57615777,860.26
Indigo,2003,Unrated,28 Jan 2005,89,Drama,English,1 win.,4.9,320,tt0379322,movie,Vox Film,500000,1190000,138.0
Nacho Libre,2006,PG,16 Jun 2006,92,"Comedy, Family, Sport","English, Spanish",1 win & 11 nominations.,5.7,"79,548",tt0457510,movie,Paramount Pictures,35000000,99255460,183.59
Battlefield Earth,2000,PG-13,12 May 2000,118,"Action, Adventure, Sci-Fi",English,19 wins & 3 nominations.,2.5,"74,813",tt0185183,movie,Warner Bros. Pictures,44000000,21400000,-51.36
Let's Go to Prison,2006,R,17 Nov 2006,84,"Comedy, Crime",English,,6.0,"22,696",tt0454987,movie,Universal Pictures,4000000,4630045,15.75
Bend It Like Beckham,2002,PG-13,01 Aug 2003,112,"Comedy, Drama, Romance, Sport","English, Punjabi, Hindi, German",Nominated for 1 Golden Globe. Another 17 wins & 19 nominations.,6.6,"102,375",tt0286499,movie,Fox Searchlight Pictures,3500159,76578641,2087.86
Byzantium,2012,R,31 May 2013,118,"Drama, Fantasy, Horror, Thriller",English,2 wins & 7 nominations.,6.5,"40,131",tt1531901,movie,IFC Films,10000000,89237,-99.11
Surrogates,2009,PG-13,25 Sep 2009,89,"Action, Sci-Fi, Thriller",English,,6.3,"166,737",tt0986263,movie,Touchstone Pictures,80000000,122444772,53.06
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005,PG,09 Dec 2005,143,"Adventure, Family, Fantasy","English, German, Brazilian Sign Language",Won 1 Oscar. Another 17 wins & 46 nominations.,6.9,"356,487",tt0363771,movie,Buena Vista,180000000,745013115,313.9
Out of Sight,1998,R,26 Jun 1998,123,"Comedy, Crime, Drama, Romance, Thriller",English,Nominated for 2 Oscars. Another 13 wins & 12 nominations.,7.0,"82,946",tt0120780,movie,Universal Pictures,48000000,77745568,61.97
Hachi: A Dog's Tale,2009,G,12 Mar 2010,93,"Drama, Family","English, Japanese",1 nomination.,8.1,"243,125",tt1028532,movie,Inferno Entertainment,16000000,46749646,192.19
Think Like a Man,2012,PG-13,20 Apr 2012,122,"Comedy, Romance",English,4 wins & 13 nominations.,6.6,"42,845",tt1621045,movie,Sony Screen Gems,12000000,96070507,700.59
Shutter Island,2010,R,19 Feb 2010,138,"Mystery, Thriller","English, German",11 wins & 65 nominations.,8.1,"1,086,008",tt1130884,movie,Paramount Studios,80000000,294804195,268.51
The Secret of Moonacre,2008,PG,06 Feb 2009,103,"Adventure, Family, Fantasy, Romance",English,,6.1,"9,358",tt0396707,movie,Warner Bros.,12000000,7070330,-41.08
The Firm,1993,R,30 Jun 1993,154,"Drama, Mystery, Thriller",English,Nominated for 2 Oscars. Another 3 wins & 5 nominations.,6.8,"113,209",tt0106918,movie,Paramount Pictures,42000000,270248367,543.45
Terminator Genisys,2015,PG-13,01 Jul 2015,126,"Action, Adventure, Sci-Fi, Thriller",English,9 nominations.,6.4,"252,788",tt1340138,movie,Paramount Pictures,155000000,440603537,184.26
Ouija: Origin of Evil,2016,PG-13,21 Oct 2016,99,"Drama, Horror, Mystery, Thriller","English, Ukrainian",2 wins & 6 nominations.,6.1,"51,500",tt4361050,movie,Universal Pictures,9000000,81705746,807.84
The Monuments Men,2014,PG-13,07 Feb 2014,118,"Comedy, Drama, History, War","English, German, Russian, French, Flemish, Dutch",3 wins & 3 nominations.,6.1,"121,859",tt2177771,movie,Sony Pictures,70000000,154984035,121.41
Cirque du Freak: The Vampire's Assistant,2009,PG-13,23 Oct 2009,109,"Action, Adventure, Fantasy, Thriller","English, Spanish, French",1 win.,5.8,"42,495",tt0450405,movie,Universal Pictures,40000000,28169671,-29.58
Flypaper,2011,Unrated,25 Aug 2011,87,"Comedy, Crime, Mystery",English,,6.4,"31,233",tt1541160,movie,IFC Films,5000000,3142154,-37.16
Run,1991,R,01 Feb 1991,91,"Action, Drama, Thriller",English,,6.3,"2,424",tt0102818,movie,Hollywood Pictures,16000000,4409328,-72.44
The Divide,2011,R,20 Apr 2012,112,"Drama, Horror, Sci-Fi, Thriller",English,1 win & 5 nominations.,5.8,"34,783",tt1535616,movie,Anchor Bay Entertainment,3000000,22000,-99.27
The Expendables 3,2014,PG-13,15 Aug 2014,126,"Action, Adventure, Thriller","English, Romanian, Spanish",2 wins & 5 nominations.,6.1,"164,618",tt2333784,movie,Lionsgate Pictures,90000000,206172544,129.08
Unstoppable,2010,PG-13,12 Nov 2010,98,"Action, Thriller",English,Nominated for 1 Oscar. Another 1 win & 13 nominations.,6.8,"180,770",tt0477080,movie,20th Century Fox,100000000,167805466,67.81
Baptists at Our Barbecue,2004,PG,08 Oct 2004,92,"Comedy, Romance",English,,5.7,425,tt0391104,movie,Halestorm Distribution,500000,173306,-65.34
The Internship,2013,PG-13,07 Jun 2013,119,Comedy,"English, Tagalog, Cantonese, Mandarin, Spanish",2 nominations.,6.3,"185,879",tt2234155,movie,20th Century Fox,58000000,44000000,-24.14
16 Blocks,2006,PG-13,03 Mar 2006,102,"Action, Drama, Thriller","English, Spanish",2 nominations.,6.6,"124,724",tt0450232,movie,Warner Bros.,55000000,65664721,19.39
