Budget,IMDB ID,Revenue
2600000,tt0087298,32980880
40000000,tt0103874,215862692
28000000,tt0083658,41473619
34000000,tt0104797,48169908
18000000,tt0104431,358994850
18000000,tt0088170,87000000
25000000,tt0103855,411006740
23000000,tt0096316,19652638
40000000,tt0104257,243240178
12000000,tt0104940,27281507
16000000,tt0093779,30861665
31000000,tt0105323,134095253
18000000,tt0082648,2945600
14000000,tt0105636,13249535
18,tt0108373,230
25000000,tt0108187,2438031
900000,tt0107387,8556940
2500000,tt0106447,764083
32000000,tt0106246,36733909
30000000,tt0106453,13273595
800000,tt0108000,1001437
14600000,tt0107048,70906973
930,tt4746288,930
45000000,tt0107798,195268056
25000000,tt0106856,40903593
6500000,tt0090670,2347000
19000000,tt0107473,11081586
19885552,tt0106912,19724334
21000000,tt0108308,42273609
6500000,tt0106223,24103594
4000000,tt0061852,205843612
6000000,tt0106627,13609396
14,tt0106613,40
38000000,tt0107211,266614059
5444534,tt0107930,20
9000000,tt0106455,10000000
22000000,tt0107978,10696210
15000000,tt0106664,10611160
3000000,tt0108517,3902679
13500000,tt0107507,11285588
11000000,tt0107616,22551000
14000000,tt0106770,63513743
3000000,tt0104215,1200000
7000000,tt0107822,116700000
1000000,tt0106521,1753979
8030000,tt0109959,3411885
25000000,tt0107144,133752825
40000000,tt0108162,116300000
3500000,tt0107554,27900000
70000000,tt0106582,255000211
1000000,tt0108041,2691899
48000000,tt0108255,20915465
13000000,tt0106452,428868
63000000,tt0107290,920100000
1100000,tt0092115,5450815
85000000,tt0107362,137298489
13000000,tt0107745,6582052
35000000,tt0106701,117270765
9000000,tt0107302,2395231
21000000,tt0108160,227799884
42000000,tt0106918,270248367
2200000,tt0089173,21930418
8000000,tt0105226,2500000
40000000,tt0107206,176997168
28000000,tt0107120,39514713
20000000,tt0106965,153698625
14000000,tt0107840,27515786
858000,tt0034492,267447150
20000000,tt0107977,35739755
20000000,tt0108174,11585483
40000000,tt0107969,107198790
44000000,tt0106977,368875760
3000000,tt0107254,15938065
18000000,tt0107076,74189677
6000000,tt0107750,3283371
13000000,tt0106505,2570145
11000000,tt0107282,32861136
12500000,tt0108399,12281551
11000000,tt0107594,1044824
13000000,tt0109838,29296
11500000,tt0107983,3275585
10000000,tt0106489,17287898
12000000,tt0106464,212483
12000000,tt0108002,22750363
2600000,tt0106233,2850263
34000000,tt0106226,32255440
28000000,tt0112389,669276
6900000,tt0106677,7993039
17000000,tt0107034,44456478
14000000,tt0106611,154856263
10000000,tt0107079,18225518
2000000,tt0107953,54207
30000000,tt0106941,11146270
11000000,tt0108550,10032765
1500000,tt0110265,418961
57000000,tt0106697,159055768
10000000,tt0106684,18
25000000,tt0107007,12700000
18000000,tt0107688,75634409
21000000,tt0107286,12136938
12000000,tt0107130,1703282
11500000,tt0107943,23237911
30000000,tt0106519,36516012
30000000,tt0108333,53898845
5000000,tt0107819,2970
10000000,tt0106660,1261210
6000000,tt0107504,12974636
47000000,tt0106220,48919043
19000000,tt0107719,2119994
18000000,tt0107277,1528163
30000000,tt0107808,135130999
25000000,tt0107614,441286195
22000000,tt0108052,321365567
35000000,tt0107426,4858139
38000000,tt0108147,57319029
35000000,tt0107004,18635620
13000000,tt0107207,65796862
15000000,tt0106375,118243066
26000000,tt0107818,206678440
33000000,tt0107096,5
6000000,tt0106364,5617391
25000000,tt0108358,56505065
22000000,tt0108101,25842000
12000000,tt0107009,5086909
7,tt0214516,14
4700000,tt0092076,8025872
8500000,tt0089243,5730596
